fname,emotion,intensivity,statement,repetition,actor,sex,voice
03-01-04-02-01-02-21,sad,strong,kids,2,21,male,speech
03-02-03-02-01-01-24,happy,strong,kids,1,24,female,song
03-01-03-02-02-02-21,happy,strong,dogs,2,21,male,speech
03-02-03-01-01-02-11,happy,normal,kids,2,11,male,song
03-01-04-02-01-01-20,sad,strong,kids,1,20,female,speech
03-02-04-02-02-02-14,sad,strong,dogs,2,14,female,song
03-02-04-02-02-01-02,sad,strong,dogs,1,2,female,song
03-01-03-02-01-01-04,happy,strong,kids,1,4,female,speech
03-01-04-01-02-01-24,sad,normal,dogs,1,24,female,speech
03-01-04-02-01-01-18,sad,strong,kids,1,18,female,speech
03-01-04-01-02-01-10,sad,normal,dogs,1,10,female,speech
03-01-03-02-01-02-03,happy,strong,kids,2,3,male,speech
03-01-04-02-01-02-22,sad,strong,kids,2,22,female,speech
03-02-04-01-02-02-14,sad,normal,dogs,2,14,female,song
03-01-04-02-01-02-14,sad,strong,kids,2,14,female,speech
03-02-03-01-01-02-23,happy,normal,kids,2,23,male,song
03-02-04-02-02-02-16,sad,strong,dogs,2,16,female,song
03-01-04-01-02-01-01,sad,normal,dogs,1,1,male,speech
03-02-04-02-02-02-23,sad,strong,dogs,2,23,male,song
03-02-03-01-01-02-06,happy,normal,kids,2,6,female,song
03-01-04-01-02-02-18,sad,normal,dogs,2,18,female,speech
03-02-03-02-01-01-04,happy,strong,kids,1,4,female,song
03-02-03-02-01-01-16,happy,strong,kids,1,16,female,song
03-01-04-01-01-02-06,sad,normal,kids,2,6,female,speech
03-01-03-02-01-02-09,happy,strong,kids,2,9,male,speech
03-01-03-01-02-02-22,happy,normal,dogs,2,22,female,speech
03-02-04-01-01-02-03,sad,normal,kids,2,3,male,song
03-02-04-02-01-01-12,sad,strong,kids,1,12,female,song
03-02-03-02-02-02-13,happy,strong,dogs,2,13,male,song
03-02-03-01-02-01-23,happy,normal,dogs,1,23,male,song
03-01-03-01-02-01-22,happy,normal,dogs,1,22,female,speech
03-01-03-02-01-01-14,happy,strong,kids,1,14,female,speech
03-02-03-01-02-02-06,happy,normal,dogs,2,6,female,song
03-02-04-01-02-01-17,sad,normal,dogs,1,17,male,song
03-01-03-01-01-02-01,happy,normal,kids,2,1,male,speech
03-02-03-02-02-01-09,happy,strong,dogs,1,9,male,song
03-01-04-02-02-02-10,sad,strong,dogs,2,10,female,speech
03-01-04-01-01-01-09,sad,normal,kids,1,9,male,speech
03-02-04-01-02-02-22,sad,normal,dogs,2,22,female,song
03-01-03-02-02-01-16,happy,strong,dogs,1,16,female,speech
03-01-04-02-02-01-10,sad,strong,dogs,1,10,female,speech
03-01-03-01-02-02-13,happy,normal,dogs,2,13,male,speech
03-01-03-02-02-02-15,happy,strong,dogs,2,15,male,speech
03-01-04-02-02-02-13,sad,strong,dogs,2,13,male,speech
03-02-03-01-01-01-21,happy,normal,kids,1,21,male,song
03-02-03-02-02-01-04,happy,strong,dogs,1,4,female,song
03-01-04-01-01-02-19,sad,normal,kids,2,19,male,speech
03-02-04-01-02-02-01,sad,normal,dogs,2,1,male,song
03-02-03-01-02-01-08,happy,normal,dogs,1,8,female,song
03-02-03-02-01-01-17,happy,strong,kids,1,17,male,song
03-01-04-02-02-02-03,sad,strong,dogs,2,3,male,speech
03-01-04-02-02-01-09,sad,strong,dogs,1,9,male,speech
03-02-04-02-02-01-11,sad,strong,dogs,1,11,male,song
03-01-04-02-02-01-24,sad,strong,dogs,1,24,female,speech
03-02-04-02-01-01-08,sad,strong,kids,1,8,female,song
03-01-03-02-02-01-08,happy,strong,dogs,1,8,female,speech
03-01-03-02-02-02-04,happy,strong,dogs,2,4,female,speech
03-01-04-02-01-01-16,sad,strong,kids,1,16,female,speech
03-02-03-01-02-02-14,happy,normal,dogs,2,14,female,song
03-02-04-02-02-01-20,sad,strong,dogs,1,20,female,song
03-01-04-02-02-02-18,sad,strong,dogs,2,18,female,speech
03-02-04-02-02-01-09,sad,strong,dogs,1,9,male,song
03-02-04-01-02-01-21,sad,normal,dogs,1,21,male,song
03-01-04-01-01-01-12,sad,normal,kids,1,12,female,speech
03-02-04-01-02-01-16,sad,normal,dogs,1,16,female,song
03-02-04-01-01-02-21,sad,normal,kids,2,21,male,song
03-01-03-01-02-02-04,happy,normal,dogs,2,4,female,speech
03-02-03-02-02-02-05,happy,strong,dogs,2,5,male,song
03-02-03-01-01-02-17,happy,normal,kids,2,17,male,song
03-01-03-02-02-02-06,happy,strong,dogs,2,6,female,speech
03-01-03-02-01-01-06,happy,strong,kids,1,6,female,speech
03-01-03-01-02-01-06,happy,normal,dogs,1,6,female,speech
03-01-03-02-02-02-23,happy,strong,dogs,2,23,male,speech
03-01-03-01-01-01-24,happy,normal,kids,1,24,female,speech
03-02-03-02-02-02-07,happy,strong,dogs,2,7,male,song
03-01-04-01-01-01-02,sad,normal,kids,1,2,female,speech
